epoch,train_loss,val_loss,train_acc,val_acc,timestamp
0,48.06953081344881,46.092638717492925,0.09089583333333333,0.23083333333333333,2026-06-10T00:23:23.628016
1,46.08918087166645,44.27044033773281,0.23466666666666666,0.3784166666666667,2026-06-10T00:23:25.924815
2,44.26590210730514,42.52791117379787,0.38477083333333334,0.47191666666666665,2026-06-10T00:23:27.494144
3,42.522834523584045,40.85710941914243,0.47822916666666665,0.53525,2026-06-10T00:23:28.905987
4,40.8514896608286,39.25412086932019,0.5408125,0.577,2026-06-10T00:23:30.395935
5,39.24800219264137,37.716922336898136,0.5824583333333333,0.6135833333333334,2026-06-10T00:23:32.143014
6,37.71028172422143,36.243472632606455,0.618,0.6459166666666667,2026-06-10T00:23:33.794263
7,36.23645595287599,34.83143376939291,0.6479583333333333,0.6688333333333333,2026-06-10T00:23:35.545480
8,34.82430439230838,33.479492241131275,0.6731458333333333,0.6915833333333333,2026-06-10T00:23:37.084077
9,33.47222987427068,32.186782017211904,0.6954791666666666,0.7118333333333333,2026-06-10T00:23:38.285519
10,32.179514488266506,30.95238947406082,0.7161875,0.7283333333333334,2026-06-10T00:23:39.588365
11,30.945452825916394,29.775192318709756,0.73375,0.7451666666666666,2026-06-10T00:23:40.978313
12,29.768489308945544,28.657747789234527,0.7467291666666667,0.7475,2026-06-10T00:23:42.286289
13,28.651560705614774,27.63046487147473,0.7512916666666667,0.72075,2026-06-10T00:23:43.691583
14,27.624600752228254,26.826103701099306,0.7235208333333333,0.5770833333333333,2026-06-10T00:23:45.553769
15,26.82172877523093,26.19330914809961,0.5781041666666666,0.38858333333333334,2026-06-10T00:23:46.973923
16,26.193507720220595,25.014396696377894,0.38747916666666665,0.5306666666666666,2026-06-10T00:23:48.324144
17,25.01174131649731,23.95931461716802,0.5326666666666666,0.6526666666666666,2026-06-10T00:23:49.634014
18,23.954005504637525,23.009764779429208,0.6576458333333334,0.7008333333333333,2026-06-10T00:23:50.975745
19,23.01003882055554,22.17112890583476,0.7015208333333334,0.6943333333333334,2026-06-10T00:23:52.508861
20,22.165105238656864,21.403451483135377,0.6983125,0.6445,2026-06-10T00:23:54.216547
21,21.40367153328369,20.70250800690807,0.6475,0.61025,2026-06-10T00:23:55.927771
22,20.696495155450283,19.991486438098455,0.6183125,0.575,2026-06-10T00:23:57.293806
23,19.991484334131204,19.22421586963807,0.5751666666666667,0.67725,2026-06-10T00:23:58.656272
24,19.220374738407894,18.489506483885023,0.682375,0.7020833333333333,2026-06-10T00:23:59.978358
25,18.487723284648727,17.81432206448306,0.7060833333333333,0.763,2026-06-10T00:24:01.520111
26,17.81291602182649,17.19036247756516,0.7619791666666667,0.7395,2026-06-10T00:24:03.133774
27,17.187060737708514,16.612919842352728,0.7423125,0.7476666666666667,2026-06-10T00:24:04.593793
28,16.61444175575525,16.06754870541135,0.7487916666666666,0.7036666666666667,2026-06-10T00:24:05.913920
29,16.06254775020073,15.579370634882105,0.7074375,0.6935833333333333,2026-06-10T00:24:07.334072
30,15.585701428502492,15.047947343629039,0.6884166666666667,0.6844166666666667,2026-06-10T00:24:08.747996
31,15.040979372919137,14.56415979132265,0.6905,0.7020833333333333,2026-06-10T00:24:10.244069
32,14.572777877723786,14.036703634541567,0.6997291666666666,0.70475,2026-06-10T00:24:11.502102
33,14.02853993527129,13.544032200419974,0.7122291666666667,0.7361666666666666,2026-06-10T00:24:12.788796
34,13.55018911215407,13.125206546847814,0.73575,0.6824166666666667,2026-06-10T00:24:14.174136
35,13.116676205940646,12.704314902611225,0.6898541666666667,0.6719166666666667,2026-06-10T00:24:15.464306
36,12.709632251926179,12.310186703583186,0.6681666666666667,0.6521666666666667,2026-06-10T00:24:16.814119
37,12.30230789941283,11.904868042630056,0.6582291666666666,0.6603333333333333,2026-06-10T00:24:18.233962
38,11.908568840027346,11.482711531747201,0.6560208333333334,0.7015,2026-06-10T00:24:19.606859
39,11.477357655060855,11.092708902077163,0.7026458333333333,0.7255833333333334,2026-06-10T00:24:21.203873
40,11.094389526192625,10.727309400598843,0.7250208333333333,0.7416666666666667,2026-06-10T00:24:22.744072
41,10.723753632266602,10.388801551095682,0.7449583333333333,0.7451666666666666,2026-06-10T00:24:24.548183
42,10.389960626709973,10.070020609281755,0.7441666666666666,0.73975,2026-06-10T00:24:26.352529
43,10.067171903078526,9.767460003195502,0.7432291666666667,0.7393333333333333,2026-06-10T00:24:28.235569
44,9.768717505495088,9.482573710856093,0.7371666666666666,0.7254166666666667,2026-06-10T00:24:31.301588
45,9.47999938022392,9.203918200702313,0.7293958333333334,0.7304166666666667,2026-06-10T00:24:34.586326
46,9.205386636764135,8.941016746418342,0.72725,0.72,2026-06-10T00:24:37.546600
47,8.938617380409013,8.675507845101249,0.7222916666666667,0.73075,2026-06-10T00:24:39.427162
48,8.676911705309841,8.43052589752855,0.7306666666666667,0.721,2026-06-10T00:24:41.374035
49,8.428602639292038,8.18588740753959,0.7249791666666666,0.7413333333333333,2026-06-10T00:24:44.312645
50,8.186947687982407,7.963905270651452,0.736875,0.71725,2026-06-10T00:24:46.866379
51,7.96297364803368,7.747928594763914,0.7216041666666667,0.72075,2026-06-10T00:24:48.864559
52,7.748557366058854,7.543815598614339,0.7179583333333334,0.7026666666666667,2026-06-10T00:24:51.034135
53,7.544328194760823,7.33050047464083,0.70625,0.7051666666666667,2026-06-10T00:24:52.976962
54,7.330691092507714,7.136289400827308,0.70625,0.6926666666666667,2026-06-10T00:24:54.836288
55,7.138116041444624,6.913345609484851,0.6935208333333334,0.72475,2026-06-10T00:24:56.958209
56,6.913219005191891,6.729757678373268,0.72225,0.6910833333333334,2026-06-10T00:24:58.894622
57,6.731876474959312,6.542958353498326,0.6904791666666666,0.72,2026-06-10T00:25:01.239674
58,6.542958936244213,6.375546317659012,0.7179583333333334,0.6630833333333334,2026-06-10T00:25:03.836398
59,6.3774024212166704,6.226991034468957,0.6607291666666667,0.69375,2026-06-10T00:25:06.611444
60,6.227631933903935,6.068803057700558,0.6907083333333334,0.6290833333333333,2026-06-10T00:25:08.463228
61,6.070403897466217,5.9325876412929714,0.6229375,0.6775833333333333,2026-06-10T00:25:10.424059
62,5.9339104949069625,5.759825345571851,0.6766666666666666,0.64275,2026-06-10T00:25:12.371810
63,5.761067805143931,5.613588498321922,0.6378958333333333,0.7130833333333333,2026-06-10T00:25:14.360139
64,5.614932391660877,5.45142763983306,0.7079375,0.688,2026-06-10T00:25:15.939961
65,5.45252003572195,5.315494892934117,0.6869583333333333,0.7444166666666666,2026-06-10T00:25:17.624178
66,5.316375459782552,5.1802484940335605,0.7394583333333333,0.7145,2026-06-10T00:25:19.534037
67,5.181587783548007,5.06299837590524,0.7124375,0.7481666666666666,2026-06-10T00:25:21.664126
68,5.063312574862428,4.948337274962551,0.7430208333333334,0.7113333333333334,2026-06-10T00:25:24.372189
69,4.950364621104756,4.851274463821684,0.7094166666666667,0.7243333333333334,2026-06-10T00:25:26.669806
70,4.850576007182303,4.755265303763688,0.7229166666666667,0.6780833333333334,2026-06-10T00:25:29.008809
71,4.75864773866993,4.683181052587801,0.6758125,0.6768333333333333,2026-06-10T00:25:31.450069
72,4.680537160134241,4.598855168239603,0.6764791666666666,0.6371666666666667,2026-06-10T00:25:33.820414
73,4.604511584543066,4.547972055401573,0.6339583333333333,0.6271666666666667,2026-06-10T00:25:35.987045
74,4.542767863334677,4.447785695737439,0.6320208333333334,0.6429166666666667,2026-06-10T00:25:38.064167
75,4.455933187644307,4.395557862224318,0.6372708333333333,0.6215,2026-06-10T00:25:40.259860
76,4.389418551743395,4.276444665657239,0.62775,0.69375,2026-06-10T00:25:42.303928
77,4.285440162792234,4.172754470279596,0.684625,0.6705833333333333,2026-06-10T00:25:44.315130
78,4.168303168167522,4.05555860364578,0.6802083333333333,0.75475,2026-06-10T00:25:46.373837
79,4.062069096959548,3.9593423725603474,0.7546666666666667,0.7263333333333334,2026-06-10T00:25:48.774079
80,3.9567795707795903,3.870465159252043,0.7311041666666667,0.779,2026-06-10T00:25:51.047503
81,3.875243453846577,3.79940015802016,0.7797291666666667,0.7470833333333333,2026-06-10T00:25:53.249049
82,3.797813400915547,3.7324372694809016,0.7492916666666667,0.7741666666666667,2026-06-10T00:25:55.183901
83,3.7368663793917483,3.67893928484975,0.7764583333333334,0.7394166666666667,2026-06-10T00:25:57.253798
84,3.6778676540428705,3.640507606973332,0.7431041666666667,0.7386666666666667,2026-06-10T00:25:59.283082
85,3.6452568343762444,3.6076128397383282,0.738125,0.68725,2026-06-10T00:26:01.363852
86,3.607381643241232,3.6136156994095856,0.6905625,0.6569166666666667,2026-06-10T00:26:03.324230
87,3.618338941625878,3.5697772663280753,0.6540625,0.58825,2026-06-10T00:26:05.183844
88,3.571260178296619,3.5196197495584762,0.5869166666666666,0.6493333333333333,2026-06-10T00:26:07.450918
89,3.5216941348005655,3.43433022588401,0.6442708333333333,0.627,2026-06-10T00:26:10.131713
90,3.4369580104397848,3.336881537810555,0.6214583333333333,0.7275,2026-06-10T00:26:13.246327
91,3.33607883349394,3.265817194072796,0.7263333333333334,0.7223333333333334,2026-06-10T00:26:15.867214
92,3.268345461605403,3.2088122406955426,0.7188541666666667,0.7538333333333334,2026-06-10T00:26:17.970343
93,3.20770736759664,3.158571849969308,0.7550208333333334,0.74325,2026-06-10T00:26:19.838349
94,3.161372517598447,3.120544407274709,0.7413958333333334,0.7505833333333334,2026-06-10T00:26:21.616263
95,3.1191577988598693,3.0839102694929963,0.7522083333333334,0.7316666666666667,2026-06-10T00:26:23.399301
96,3.0874046790590004,3.058705874364964,0.7279791666666666,0.7289166666666667,2026-06-10T00:26:25.247659
97,3.056566420945485,3.034891010420608,0.7293958333333334,0.6964166666666667,2026-06-10T00:26:27.803745
98,3.039461693647444,3.019185076393237,0.688625,0.6878333333333333,2026-06-10T00:26:29.977919
99,3.0159976348297697,3.003146998543017,0.6876458333333333,0.6445833333333333,2026-06-10T00:26:32.213716
100,3.008791636638524,2.997431592387441,0.639,0.6368333333333334,2026-06-10T00:26:35.345975
101,2.993507787550195,2.965497044018109,0.6407083333333333,0.6225,2026-06-10T00:26:37.512203
102,2.971230406463019,2.9739217753847242,0.6165416666666667,0.614,2026-06-10T00:26:39.633837
103,2.970736320767546,2.896331936231036,0.6195208333333333,0.6555833333333333,2026-06-10T00:26:41.484244
104,2.900868681840362,2.8787158502107353,0.6517291666666667,0.6626666666666666,2026-06-10T00:26:43.209706
105,2.877772018140737,2.7973163214324455,0.6639166666666667,0.70875,2026-06-10T00:26:44.923853
106,2.800715200920763,2.7625526674005205,0.7070833333333333,0.7266666666666667,2026-06-10T00:26:47.056470
107,2.763221161415665,2.7144423119773293,0.7293333333333333,0.74225,2026-06-10T00:26:49.591875
108,2.717094711180178,2.6876353101663573,0.738875,0.7525,2026-06-10T00:26:51.614040
109,2.6888866576309773,2.656898713904515,0.7521458333333333,0.7524166666666666,2026-06-10T00:26:53.704167
110,2.6592788035083768,2.639299630073662,0.7502708333333333,0.75275,2026-06-10T00:26:55.821007
111,2.640830006975115,2.61771464193329,0.751625,0.7485,2026-06-10T00:26:58.183868
112,2.620142395060731,2.610541344846647,0.747125,0.73775,2026-06-10T00:27:00.807078
113,2.612245605247213,2.5965574734505843,0.737375,0.7305,2026-06-10T00:27:02.971578
114,2.5992935490284523,2.606553191974136,0.7322291666666667,0.7,2026-06-10T00:27:04.821971
115,2.6084078362571574,2.6037201920257895,0.7000208333333333,0.696,2026-06-10T00:27:06.719109
116,2.606968958216732,2.6297790039442903,0.6934166666666667,0.62675,2026-06-10T00:27:09.100595
117,2.6320586221166247,2.629621443432204,0.6278125,0.65275,2026-06-10T00:27:10.943942
118,2.6332288893310647,2.6060621003511795,0.64525,0.5809166666666666,2026-06-10T00:27:12.624128
119,2.608738587565389,2.572057514562389,0.5804583333333333,0.67175,2026-06-10T00:27:14.818191
120,2.5745488522442974,2.517773370791057,0.6685,0.6476666666666666,2026-06-10T00:27:16.890954
121,2.5203595119060695,2.4831343980581613,0.6379375,0.72025,2026-06-10T00:27:19.038362
122,2.4845589879908565,2.4520604439630844,0.7134791666666667,0.6895833333333333,2026-06-10T00:27:20.865138
123,2.454815120493972,2.4359825174205647,0.6865,0.7249166666666667,2026-06-10T00:27:22.744117
124,2.4365663585122297,2.4214768739498576,0.7201666666666666,0.6871666666666667,2026-06-10T00:27:24.683961
125,2.425031522285548,2.423067836598551,0.6835208333333334,0.6984166666666667,2026-06-10T00:27:27.724048
126,2.4224394072955704,2.418549698117971,0.6986041666666667,0.6555833333333333,2026-06-10T00:27:29.963900
127,2.423499720428411,2.4350576817098863,0.6534375,0.6584166666666667,2026-06-10T00:27:31.893825
128,2.432729520727481,2.421089901407215,0.6595208333333333,0.6390833333333333,2026-06-10T00:27:33.758092
129,2.4276226198234063,2.435784460545171,0.6345416666666667,0.6356666666666667,2026-06-10T00:27:35.968251
130,2.4320885752294794,2.398213196150672,0.6417291666666667,0.6705833333333333,2026-06-10T00:27:39.282136
131,2.4057403682276046,2.4053950305094007,0.6646666666666666,0.652,2026-06-10T00:27:41.636277
132,2.4015267203290422,2.369884642643988,0.6568541666666666,0.7114166666666667,2026-06-10T00:27:43.789894
133,2.3777632174209216,2.36230420418158,0.7052291666666667,0.6745833333333333,2026-06-10T00:27:45.666022
134,2.359097102773313,2.333564593915923,0.6819791666666667,0.74025,2026-06-10T00:27:48.289650
135,2.3408790268709936,2.3132248912173248,0.739,0.70075,2026-06-10T00:27:51.304022
136,2.310987090576247,2.2904237332319655,0.7068125,0.7625,2026-06-10T00:27:53.242348
137,2.2967240933215463,2.274754458546771,0.76325,0.72025,2026-06-10T00:27:55.323848
138,2.2733272144004673,2.2614928822939335,0.7264166666666667,0.7694166666666666,2026-06-10T00:27:57.357570
139,2.2671515398370348,2.2548421788863164,0.7709375,0.727,2026-06-10T00:27:59.494058
140,2.2540295859115744,2.256871682155965,0.7319375,0.7551666666666667,2026-06-10T00:28:02.112554
141,2.262298816256922,2.2622873663617162,0.7561875,0.7065833333333333,2026-06-10T00:28:04.395562
142,2.2623391812521003,2.2992443007740273,0.7135,0.7025,2026-06-10T00:28:06.340211
143,2.3043908354469664,2.317781757165249,0.700625,0.62575,2026-06-10T00:28:08.374016
144,2.319517486298121,2.3736443402102037,0.6243541666666667,0.6280833333333333,2026-06-10T00:28:10.300201
145,2.3770234717960754,2.3556315748677834,0.6245,0.5575833333333333,2026-06-10T00:28:12.263897
146,2.3591527967075336,2.2877123324253885,0.556375,0.6835833333333333,2026-06-10T00:28:14.239936
147,2.2876786168283108,2.240325629127291,0.6829166666666666,0.6855,2026-06-10T00:28:16.221381
148,2.2436319231548825,2.202895729021111,0.6781666666666667,0.7465833333333334,2026-06-10T00:28:18.420617
149,2.202187611765618,2.1856810916066536,0.7445416666666667,0.7378333333333333,2026-06-10T00:28:20.573781
150,2.18892676720829,2.184886936178745,0.7336041666666666,0.741,2026-06-10T00:28:22.896841
151,2.184018575943982,2.1881560388826955,0.7406666666666667,0.7134166666666667,2026-06-10T00:28:25.531284
152,2.192270589497376,2.2153517888388476,0.7101875,0.6893333333333334,2026-06-10T00:28:27.453893
153,2.2137249491379665,2.234240549298937,0.6919583333333333,0.6475833333333333,2026-06-10T00:28:29.411516
154,2.23970089632203,2.27965061689169,0.6422708333333333,0.6234166666666666,2026-06-10T00:28:31.322884
155,2.27722302532263,2.2501914625866766,0.6272083333333334,0.6313333333333333,2026-06-10T00:28:32.967796
156,2.2558501032791547,2.2531904068672484,0.6265625,0.6509166666666667,2026-06-10T00:28:34.824959
157,2.2515877969700258,2.1880230575403807,0.6496666666666666,0.70075,2026-06-10T00:28:37.013793
158,2.192558920137431,2.178631513044917,0.6977083333333334,0.7203333333333334,2026-06-10T00:28:38.843965
159,2.1782816746732854,2.14678973342855,0.7205625,0.7479166666666667,2026-06-10T00:28:40.596096
