epoch,train_loss,val_loss,train_acc,val_acc,timestamp
0,2.388775853085575,16.30554195602428,0.072,0.0995,2026-06-10T01:18:06.707558
1,16.328226168428774,10.403363881243644,0.0990625,0.21466666666666667,2026-06-10T01:18:07.904834
2,10.426905619541625,10.289447362942433,0.2135625,0.28791666666666665,2026-06-10T01:18:09.092680
3,10.31159260407062,11.192547294432103,0.283625,0.25683333333333336,2026-06-10T01:18:10.029950
4,11.164507768578238,8.169698833165338,0.2587083333333333,0.29883333333333334,2026-06-10T01:18:11.058258
5,8.067472726717483,3.913847872040544,0.304875,0.2990833333333333,2026-06-10T01:18:11.917038
6,3.858842021868141,2.0939156977141407,0.3040833333333333,0.36575,2026-06-10T01:18:12.790792
7,2.0790200988111485,1.9195995967100976,0.36745833333333333,0.41183333333333333,2026-06-10T01:18:13.710806
8,1.931264405078017,1.6955374480957313,0.4104375,0.4830833333333333,2026-06-10T01:18:14.471020
9,1.70671489161511,1.4664399149827072,0.48210416666666667,0.5361666666666667,2026-06-10T01:18:15.355666
10,1.4729784552452627,1.3666665308210215,0.5325833333333333,0.5620833333333334,2026-06-10T01:18:16.162831
11,1.3654477832622764,1.3868336209641952,0.5578541666666667,0.5609166666666666,2026-06-10T01:18:17.030704
12,1.380788340888051,1.3849627904383492,0.5535208333333334,0.54025,2026-06-10T01:18:17.872570
13,1.3775520974923845,1.350482921269529,0.5313333333333333,0.5341666666666667,2026-06-10T01:18:19.128672
14,1.3457971617628588,1.2986571580416932,0.5296666666666666,0.5546666666666666,2026-06-10T01:18:20.186939
15,1.2961960142374989,1.248817705603932,0.5509375,0.5660833333333334,2026-06-10T01:18:21.780131
16,1.2478923118160246,1.2120398025344394,0.5656666666666667,0.5759166666666666,2026-06-10T01:18:23.092176
17,1.2119219859294257,1.174024912629645,0.5759583333333333,0.58475,2026-06-10T01:18:24.240964
18,1.1730581018700625,1.097695618845202,0.5838125,0.6043333333333333,2026-06-10T01:18:25.882487
19,1.1029445246539302,1.0393678586487585,0.6025416666666666,0.6504166666666666,2026-06-10T01:18:26.991968
20,1.0455438636841115,1.0145449023429787,0.6476041666666666,0.6390833333333333,2026-06-10T01:18:28.054523
21,1.0185551827718193,0.9486851943019878,0.639375,0.6736666666666666,2026-06-10T01:18:29.509500
22,0.9519997516859507,0.8988557386217975,0.6728333333333333,0.6900833333333334,2026-06-10T01:18:30.719619
23,0.9024691123181744,0.8754919295667201,0.6881041666666666,0.6918333333333333,2026-06-10T01:18:32.094436
24,0.8804196840696276,0.846388648299322,0.6869791666666667,0.70225,2026-06-10T01:18:34.060548
25,0.8490985773973786,0.8147011529641771,0.6985208333333334,0.7179166666666666,2026-06-10T01:18:35.928743
